num_nodes,num_edges,mean_distance,diameter,density,beetweenness_centrality_mean,mean_degree,var_degree,skew_degree,kurt_degree,mean_strength,var_strength,skew_strength,kurt_strength,assortativity,center_of_mass,center_of_strength,model_name,label,grid_size,graph_label,sample
1466,1596,14.877198740741932,46,0.0007431240076547361,7.885712357821889e-05,2.1773533424283764,1.0074321713096397,2.076978662537797,5.785359082653006,2.193724420190996,1.0764384059151924,2.0997722142546618,5.821724014442237,0.03271971282808169,-0.3969986357435198,nan,distilbert/distilbert-base-multilingual-cased,top,50,top,3
423,1052,5.634499680683002,13,0.0058933593268573605,0.0032890036657649883,4.973995271867612,10.523018834100814,1.6797858923763778,4.429477827066926,7.602836879432624,51.42482605626702,2.351628174950966,6.607613048637532,0.16303468751854955,0.013002364066193853,nan,distilbert/distilbert-base-multilingual-cased,bottom,10,bottom,4
389,1091,6.172819547875864,24,0.007228420745766306,0.0041137508336659785,5.609254498714653,15.681975989187183,1.021290239486036,0.5782121707915393,8.267352185089974,50.96442106379031,1.2924759796508047,1.3072000714453598,0.13040231767167143,-0.5694087403598972,nan,distilbert/distilbert-base-multilingual-cased,top,10,top,4
857,1341,8.07759626604434,24,0.0018279915811513757,0.0010369835099313296,3.1295215869311552,5.010073719451685,2.215614283348219,7.548672964430076,3.7526254375729287,12.870977327997034,3.2065161448917956,15.118170843557188,0.21285666388066066,0.11726954492415402,nan,distilbert/distilbert-base-multilingual-cased,bottom,20,bottom,4
848,1438,6.954301498225555,20,0.0020020716847474994,0.0014099591008280472,3.391509433962264,6.949254861776302,2.2246941531061855,7.08203936478208,3.792452830188679,11.942705664832593,2.668512278365637,9.328079660560723,0.2677615746128234,-0.07547169811320754,nan,distilbert/distilbert-base-multilingual-cased,top,20,top,4
1149,1486,10.264374717600216,34,0.0011265666554464873,0.0003781658350438099,2.586597040905135,2.4099595770295634,2.1610430319782274,6.643367383335569,2.7989556135770237,4.005713194021161,2.839664474270808,13.20088484160046,0.15089275756942613,-0.2589208006962576,nan,distilbert/distilbert-base-multilingual-cased,bottom,30,bottom,4
1170,1555,9.11525666615487,30,0.0011369202985969454,0.0005695374517661452,2.658119658119658,2.618689361204331,1.8349530750458092,4.103731605614682,2.7487179487179487,3.125853786931631,1.905458540961822,4.400312753370052,0.15266604542020254,-0.30256410256410254,nan,distilbert/distilbert-base-multilingual-cased,top,30,top,4
1359,1563,15.554576743903095,62,0.0008469148566096746,0.00011360726209036322,2.3002207505518766,1.3928644578607028,2.863803373346138,13.878618324641536,2.3664459161147904,1.7610529703791122,3.006035272273848,14.675064091722671,0.06287383395429956,-0.47792494481236203,nan,distilbert/distilbert-base-multilingual-cased,bottom,40,bottom,4
1410,1590,13.210763213530655,36,0.0008003261706657807,0.00012816758596642474,2.25531914893617,1.2321398909744348,2.3336502705286137,8.481183723383097,2.2808510638297874,1.3163825257085906,2.242783571100989,7.4563226571915076,0.022632509537647637,-0.4368794326241135,nan,distilbert/distilbert-base-multilingual-cased,top,40,top,4
1466,1567,17.523368375827392,50,0.000729621127816398,6.154725599574809e-05,2.1377899045020463,0.9625709483212197,2.5138625494042386,10.16593315212889,2.193724420190996,1.2621039349254313,2.922692705215038,13.218647231746031,0.08811203290301663,-0.33356070941336974,nan,distilbert/distilbert-base-multilingual-cased,bottom,50,bottom,4
